Date,AAPL,MSFT,GOOGL,AMZN,TSLA,BRK-B,JNJ,JPM,V,PG,NVDA,HD,DIS,MA,PYPL,NFLX,ADBE,CMCSA,PFE
2020-05-13,76.9124984741211,179.75,67.41649627685547,118.39600372314453,52.73066711425781,170.57000732421875,147.1300048828125,84.02999877929688,177.08999633789062,113.91999816894531,7.78000020980835,230.10000610351562,102.91999816894531,269.1600036621094,143.72999572753906,438.2699890136719,358.55999755859375,34.970001220703125,35.15180206298828
2020-05-14,77.38500213623047,180.52999877929688,67.84300231933594,119.44249725341797,53.55533218383789,170.92999267578125,147.63999938964844,87.5199966430664,180.89999389648438,113.80999755859375,8.030500411987305,234.47999572753906,105.91000366210938,277.30999755859375,144.41000366210938,441.95001220703125,355.3900146484375,35.7599983215332,35.977230072021484
2020-05-15,76.92749786376953,183.16000366210938,68.65299987792969,120.48899841308594,53.27799987792969,169.25,150.44000244140625,85.9000015258789,183.49000549316406,114.61000061035156,8.490750312805176,239.3300018310547,109.05000305175781,278.94000244140625,145.50999450683594,454.19000244140625,365.29998779296875,35.91999816894531,35.8254280090332
2020-05-18,78.73999786376953,184.91000366210938,69.25900268554688,121.31300354003906,54.242000579833984,175.4600067138672,150.52000427246094,90.44999694824219,191.3800048828125,116.20999908447266,8.750249862670898,245.35000610351562,116.8499984741211,289.8999938964844,146.24000549316406,452.5799865722656,367.9700012207031,38.09000015258789,36.119544982910156
2020-05-19,78.28500366210938,183.6300048828125,68.72000122070312,122.46649932861328,53.867332458496094,172.49000549316406,149.02000427246094,88.66999816894531,189.36000061035156,112.44000244140625,8.805500030517578,238.10000610351562,114.37000274658203,290.7300109863281,145.38999938964844,451.0400085449219,372.20001220703125,38.209999084472656,35.74952697753906
2020-05-20,79.80750274658203,185.66000366210938,70.45800018310547,124.89700317382812,54.37066650390625,176.02000427246094,147.67999267578125,91.33000183105469,193.86000061035156,113.27999877929688,8.970000267028809,238.19000244140625,119.91999816894531,298.79998779296875,150.94000244140625,447.6700134277344,383.6300048828125,39.16999816894531,35.70208740234375
2020-05-21,79.2125015258789,183.42999267578125,70.3375015258789,122.33699798583984,55.17333221435547,174.94000244140625,146.7100067138672,90.16999816894531,190.6199951171875,111.62000274658203,8.775250434875488,240.8800048828125,117.83000183105469,294.260009765625,148.22000122070312,436.25,382.1700134277344,38.95000076293945,35.351043701171875
2020-05-22,79.72250366210938,183.50999450683594,70.66200256347656,121.84400177001953,54.45866775512695,174.92999267578125,144.3699951171875,89.47000122070312,190.86000061035156,112.5999984741211,9.026249885559082,241.8800048828125,118.0199966430664,294.9100036621094,150.86000061035156,429.32000732421875,385.260009765625,38.7400016784668,35.5787467956543
2020-05-26,79.18250274658203,181.57000732421875,71.06849670410156,121.09300231933594,54.591331481933594,180.33999633789062,144.55999755859375,95.81999969482422,193.22000122070312,112.02999877929688,8.71774959564209,242.47999572753906,120.94999694824219,303.3299865722656,147.0,414.7699890136719,376.6300048828125,39.52000045776367,35.56925964355469
2020-05-27,79.52749633789062,181.80999755859375,71.01399993896484,120.51950073242188,54.68199920654297,185.77000427246094,144.88999938964844,101.37000274658203,192.82000732421875,113.88999938964844,8.525250434875488,247.36000061035156,121.52999877929688,299.7699890136719,145.9600067138672,419.8900146484375,375.1700134277344,39.93000030517578,35.49335861206055
2020-05-28,79.5625,181.39999389648438,70.91200256347656,120.05500030517578,53.72066879272461,185.10000610351562,146.97000122070312,99.86000061035156,194.25999450683594,116.05999755859375,8.487000465393066,245.13999938964844,116.75,302.29998779296875,148.7899932861328,413.44000244140625,379.8299865722656,39.54999923706055,36.223907470703125
2020-05-29,79.48500061035156,183.25,71.6760025024414,122.11849975585938,55.66666793823242,185.5800018310547,148.75,97.30999755859375,195.24000549316406,115.91999816894531,8.875499725341797,248.47999572753906,117.30000305175781,300.8900146484375,155.00999450683594,419.7300109863281,386.6000061035156,39.599998474121094,36.2333984375
2020-06-01,80.4625015258789,182.8300018310547,71.74349975585938,123.552001953125,59.87333297729492,183.83999633789062,147.19000244140625,98.5999984741211,194.35000610351562,117.25,8.806249618530273,247.2899932861328,118.7699966430664,301.3999938964844,154.52999877929688,425.9200134277344,389.67999267578125,40.18000030517578,33.64326477050781
2020-06-02,80.83499908447266,184.91000366210938,72.1155014038086,123.62049865722656,58.770668029785156,185.94000244140625,148.25,98.93000030517578,196.36000061035156,118.05999755859375,8.825249671936035,252.7100067138672,118.75,303.5899963378906,157.49000549316406,427.30999755859375,390.44000244140625,40.779998779296875,34.30739974975586
2020-06-03,81.27999877929688,185.36000061035156,71.9625015258789,123.91999816894531,58.86399841308594,190.82000732421875,148.64999389648438,104.2699966430664,196.8699951171875,118.52999877929688,8.769499778747559,251.0,122.18000030517578,307.07000732421875,156.77999877929688,421.9700012207031,389.9200134277344,41.29999923706055,34.30739974975586
2020-06-04,80.58000183105469,182.9199981689453,70.71499633789062,123.02999877929688,57.62533187866211,192.0500030517578,146.72999572753906,106.44000244140625,193.63999938964844,116.05000305175781,8.766500473022461,248.9499969482422,123.69000244140625,301.3699951171875,154.60000610351562,414.3299865722656,385.79998779296875,41.290000915527344,34.16508483886719
2020-06-05,82.875,187.1999969482422,72.0009994506836,124.1500015258789,59.04399871826172,200.66000366210938,147.3000030517578,111.2300033569336,199.61000061035156,118.33000183105469,8.920000076293945,254.89999389648438,124.81999969482422,311.8800048828125,156.0,419.6000061035156,392.8999938964844,42.09000015258789,34.14611053466797
