Date,S&P 500,DJIA
2000-01-03,1455.219970703125,11357.509765625
2000-01-04,1399.4200439453125,10997.9296875
2000-01-05,1402.1099853515625,11122.650390625
2000-01-06,1403.449951171875,11253.259765625
2000-01-07,1441.469970703125,11522.5595703125
2000-01-10,1457.5999755859375,11572.2001953125
2000-01-11,1438.56005859375,11511.080078125
2000-01-12,1432.25,11551.099609375
2000-01-13,1449.6800537109375,11582.4296875
2000-01-14,1465.1500244140625,11722.98046875
2000-01-18,1455.1400146484375,11560.7197265625
2000-01-19,1455.9000244140625,11489.3603515625
2000-01-20,1445.5699462890625,11351.2998046875
2000-01-21,1441.3599853515625,11251.7099609375
2000-01-24,1401.530029296875,11008.169921875
2000-01-25,1410.030029296875,11029.8896484375
2000-01-26,1404.0899658203125,11032.990234375
2000-01-27,1398.56005859375,11028.01953125
2000-01-28,1360.1600341796875,10738.8701171875
2000-01-31,1394.4599609375,10940.5302734375
2000-02-01,1409.280029296875,11041.0498046875
2000-02-02,1409.1199951171875,11003.2001953125
2000-02-03,1424.969970703125,11013.4404296875
2000-02-04,1424.3699951171875,10963.7998046875
2000-02-07,1424.239990234375,10905.7900390625
2000-02-08,1441.719970703125,10957.599609375
2000-02-09,1411.7099609375,10699.16015625
2000-02-10,1416.8299560546875,10643.6298828125
2000-02-11,1387.1199951171875,10425.2099609375
2000-02-14,1389.93994140625,10519.83984375
2000-02-15,1402.050048828125,10718.08984375
2000-02-16,1387.6700439453125,10561.41015625
2000-02-17,1388.260009765625,10514.5703125
2000-02-18,1346.0899658203125,10219.51953125
2000-02-22,1352.1700439453125,10304.83984375
2000-02-23,1360.68994140625,10225.73046875
2000-02-24,1353.4300537109375,10092.6298828125
2000-02-25,1333.3599853515625,9862.1201171875
2000-02-28,1348.050048828125,10038.650390625
2000-02-29,1366.4200439453125,10128.3095703125
2000-03-01,1379.18994140625,10137.9296875
2000-03-02,1381.760009765625,10164.919921875
2000-03-03,1409.1700439453125,10367.2001953125
2000-03-06,1391.280029296875,10170.5
2000-03-07,1355.6199951171875,9796.0302734375
2000-03-08,1366.699951171875,9856.5302734375
2000-03-09,1401.68994140625,10010.73046875
2000-03-10,1395.0699462890625,9928.8203125
2000-03-13,1383.6199951171875,9947.1298828125
2000-03-14,1359.1500244140625,9811.240234375
2000-03-15,1392.1400146484375,10131.41015625
2000-03-16,1458.469970703125,10630.599609375
2000-03-17,1464.469970703125,10595.23046875
2000-03-20,1456.6300048828125,10680.240234375
2000-03-21,1493.8699951171875,10907.33984375
2000-03-22,1500.6400146484375,10866.7001953125
2000-03-23,1527.3499755859375,11119.8603515625
2000-03-24,1527.4599609375,11112.7197265625
2000-03-27,1523.8599853515625,11025.849609375
2000-03-28,1507.72998046875,10936.1103515625
2000-03-29,1508.52001953125,11018.7197265625
2000-03-30,1487.9200439453125,10980.25
2000-03-31,1498.5799560546875,10921.919921875
2000-04-03,1505.969970703125,11221.9296875
2000-04-04,1494.72998046875,11164.83984375
2000-04-05,1487.3699951171875,11033.919921875
2000-04-06,1501.3399658203125,11114.26953125
2000-04-07,1516.3499755859375,11111.48046875
2000-04-10,1504.4599609375,11186.5595703125
2000-04-11,1500.5899658203125,11287.080078125
2000-04-12,1467.1700439453125,11125.1298828125
2000-04-13,1440.510009765625,10923.5498046875
2000-04-14,1356.56005859375,10305.76953125
2000-04-17,1401.43994140625,10582.509765625
2000-04-18,1441.6099853515625,10767.419921875
2000-04-19,1427.469970703125,10674.9599609375
2000-04-20,1434.5400390625,10844.0498046875
2000-04-24,1429.8599853515625,10906.099609375
2000-04-25,1477.43994140625,11124.8203125
2000-04-26,1460.989990234375,10945.5
2000-04-27,1464.9200439453125,10888.099609375
2000-04-28,1452.4300537109375,10733.91015625
2000-05-01,1468.25,10811.7802734375
2000-05-02,1446.2900390625,10731.1201171875
2000-05-03,1415.0999755859375,10480.1298828125
2000-05-04,1409.5699462890625,10412.490234375
2000-05-05,1432.6300048828125,10577.8603515625
2000-05-08,1424.1700439453125,10603.6298828125
2000-05-09,1412.1400146484375,10536.75
2000-05-10,1383.050048828125,10367.7802734375
2000-05-11,1407.81005859375,10545.9697265625
2000-05-12,1420.9599609375,10609.3701171875
2000-05-15,1452.3599853515625,10807.7802734375
2000-05-16,1466.0400390625,10934.5703125
2000-05-17,1447.800048828125,10769.740234375
2000-05-18,1437.2099609375,10777.2802734375
2000-05-19,1406.949951171875,10626.849609375
2000-05-22,1400.719970703125,10542.5498046875
2000-05-23,1373.8599853515625,10422.26953125
2000-05-24,1399.050048828125,10535.349609375
2000-05-25,1381.52001953125,10323.919921875
2000-05-26,1378.02001953125,10299.240234375
2000-05-30,1422.449951171875,10527.1298828125
2000-05-31,1420.5999755859375,10522.330078125
2000-06-01,1448.81005859375,10652.2001953125
2000-06-02,1477.260009765625,10794.759765625
2000-06-05,1467.6300048828125,10815.2998046875
2000-06-06,1457.8399658203125,10735.5703125
2000-06-07,1471.3599853515625,10812.8603515625
2000-06-08,1461.6700439453125,10668.7197265625
2000-06-09,1456.949951171875,10614.0595703125
2000-06-12,1446.0,10564.2099609375
2000-06-13,1469.43994140625,10621.83984375
2000-06-14,1470.5400390625,10687.9501953125
2000-06-15,1478.72998046875,10714.8203125
2000-06-16,1464.4599609375,10449.2998046875
2000-06-19,1486.0,10557.83984375
2000-06-20,1475.949951171875,10435.16015625
2000-06-21,1479.1300048828125,10497.740234375
2000-06-22,1452.1800537109375,10376.1201171875
2000-06-23,1441.47998046875,10404.75
2000-06-26,1455.31005859375,10542.990234375
2000-06-27,1450.550048828125,10504.4599609375
2000-06-28,1454.8199462890625,10527.7900390625
2000-06-29,1442.3900146484375,10398.0400390625
2000-06-30,1454.5999755859375,10447.8896484375
2000-07-03,1469.5400390625,10560.669921875
2000-07-05,1446.22998046875,10483.599609375
2000-07-06,1456.6700439453125,10481.4697265625
2000-07-07,1478.9000244140625,10635.98046875
2000-07-10,1475.6199951171875,10646.580078125
2000-07-11,1480.8800048828125,10727.1904296875
2000-07-12,1492.9200439453125,10783.759765625
2000-07-13,1495.8399658203125,10788.7099609375
2000-07-14,1509.97998046875,10812.75
2000-07-17,1510.489990234375,10804.26953125
2000-07-18,1493.739990234375,10739.919921875
2000-07-19,1481.9599609375,10696.080078125
2000-07-20,1495.5699462890625,10843.8701171875
2000-07-21,1480.18994140625,10733.5595703125
2000-07-24,1464.2900390625,10685.1201171875
2000-07-25,1474.469970703125,10699.9697265625
2000-07-26,1452.4200439453125,10516.48046875
